,google_time_spent_txt,type,name,city,state,coord0,coord1,poi_rank,img_url,rating,reviews,city_rank,fee,visit_length,tag,google_normal_min,google_fast_min,tripadvisor_fast_min,tripadvisor_normal_min,adjusted_normal_time_spent,adjusted_fast_time_spent,county,theme_park
0,,Feature,Times Square,New York,New York,-73.9859117188,40.7573123145,1,http://mw2.google.com/mw-panoramio/photos/small/63196174.jpg,4.5,30873.0,27.0,No,1-2 hours,Neighborhoods,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
1,1.5 hours,Feature,Empire State Building,New York,New York,-73.9854814636,40.7484308521,2,http://mw2.google.com/mw-panoramio/photos/small/80834856.jpg,4.5,52446.0,11.0,Yes,1-2 hours,Architectural Buildings,90.0,45.0,60.0,120.0,90.0,45.0,NEW YORK,False
2,,Feature,Grand Central Terminal,New York,New York,-73.9773730029,40.7526327658,3,http://mw2.google.com/mw-panoramio/photos/small/36205029.jpg,4.5,28478.0,7.0,No,1-2 hours,Architectural Buildings,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
3,,Feature,Flatiron Building,New York,New York,-73.9894269779,40.7415214166,4,http://mw2.google.com/mw-panoramio/photos/small/50219879.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
4,,Feature,Rockefeller Center,New York,New York,-73.9785869037,40.7587364814,5,http://mw2.google.com/mw-panoramio/photos/small/63093959.jpg,4.5,16707.0,21.0,No,1-2 hours,Points of Interest & Landmarks,None,None,60.0,120.0,120.0,60.0,NEW YORK,False
10,,Feature,Brooklyn Bridge,New York,New York,-73.997652629,40.7067059117,6,http://mw2.google.com/mw-panoramio/photos/small/28052719.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
11,,Feature,Statue of Liberty,New York,New York,-74.0443545137,40.689153987,7,http://mw2.google.com/mw-panoramio/photos/small/11285606.jpg,4.5,26918.0,15.0,Yes,More than 3 hours,Monuments & Statues,None,None,180,300,300.0,180,NEW YORK,False
12,,Feature,Guggenheim,New York,New York,-73.9591327217,40.7830054223,8,http://mw2.google.com/mw-panoramio/photos/small/79504460.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
13,,Feature,Chrysler Building,New York,New York,-73.9756222272,40.7515976294,9,http://mw2.google.com/mw-panoramio/photos/small/21265461.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
14,3 hours,Feature,Metropolitan Museum of Art,New York,New York,-73.9628814559,40.7791142446,10,http://mw2.google.com/mw-panoramio/photos/small/57496602.jpg,5.0,40443.0,3.0,Yes,2-3 hours,Points of Interest & Landmarks,180.0,90.0,120.0,180.0,180.0,90.0,NEW YORK,False
15,,Feature,One World Trade Center,New York,New York,-74.0120457455,40.7117148437,11,http://mw2.google.com/mw-panoramio/photos/small/80782639.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
16,2.5 hours,Feature,MoMA,New York,New York,-73.9771649007,40.7612933576,12,http://mw2.google.com/mw-panoramio/photos/small/53330383.jpg,4.5,12160.0,29.0,Yes,2-3 hours,Art Museums,150.0,75.0,120.0,180.0,150.0,75.0,NEW YORK,False
17,,Feature,St. Patrick's Cathedral,New York,New York,-73.9766164871,40.758685326,13,http://mw2.google.com/mw-panoramio/photos/small/102257623.jpg,4.5,8125.0,17.0,No,15 min,Churches & Cathedrals,None,None,15,15,15.0,15,NEW YORK,False
18,45 min,Feature,Washington Square Park,New York,New York,-73.9973560794,40.7310104125,14,http://mw2.google.com/mw-panoramio/photos/small/1448308.jpg,,,,None,None,None,45,30,None,None,45.0,30,NEW YORK,False
19,45 min,Feature,Top of the Rock,New York,New York,-73.9793881513,40.7590568977,15,http://mw2.google.com/mw-panoramio/photos/small/77162964.jpg,4.5,57358.0,4.0,Yes,Yes,Observation Decks & Towers,45,30,15,15,45.0,30,NEW YORK,False
20,1 hour,Feature,Bryant Park,New York,New York,-73.9837453551,40.7539265648,16,http://mw2.google.com/mw-panoramio/photos/small/77388824.jpg,4.5,15170.0,14.0,No,2-3 hours,Nature & Parks,60.0,30.0,120.0,180.0,60.0,30.0,NEW YORK,False
21,,Feature,Battery Park,New York,New York,-74.016362343,40.703163571,17,http://mw2.google.com/mw-panoramio/photos/small/41614707.jpg,,,,None,None,None,None,None,None,None,45.0,30,NEW YORK,False
22,45 min,Feature,High Line,New York,New York,-74.0061708484,40.7456389064,18,http://mw2.google.com/mw-panoramio/photos/small/88902282.jpg,4.5,42015.0,8.0,No,2-3 hours,Scenic Walking Areas,45,30,120.0,180.0,45.0,30,NEW YORK,False
23,,Feature,Wall Street,New York,New York,-74.0104165676,40.7069036189,19,http://mw2.google.com/mw-panoramio/photos/small/70779726.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
24,,Feature,South Street Seaport,New York,New York,-74.0023453109,40.7055636809,20,http://mw2.google.com/mw-panoramio/photos/small/33407701.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
25,,Feature,Manhattan Bridge,New York,New York,-73.9900777721,40.7039721463,21,http://mw2.google.com/mw-panoramio/photos/small/82120201.jpg,,,,None,None,None,None,None,None,None,15.0,15,NEW YORK,False
26,,Feature,Santa Monica,Los Angeles,California,-118.497412761,34.0105270186,1,http://mw2.google.com/mw-panoramio/photos/small/27181135.jpg,4.5,3733.0,11.0,No,15 min,Beaches,None,None,15,15,15.0,15,LOS ANGELES,False
27,1 hour,Feature,Griffith Observatory,Los Angeles,California,-118.300419087,34.1184883368,2,http://mw2.google.com/mw-panoramio/photos/small/64740354.jpg,4.5,12585.0,3.0,No,More than 3 hours,Observation Decks & Towers,60.0,30.0,180,300,60.0,30.0,LOS ANGELES,False
28,,Feature,Walt Disney Concert Hall,Los Angeles,California,-118.249473464,34.0553886479,3,http://mw2.google.com/mw-panoramio/photos/small/94115999.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
29,,Feature,Hollywood,Los Angeles,California,-118.339957032,34.1018401979,4,http://mw2.google.com/mw-panoramio/photos/small/12765328.jpg,-999.0,-999.0,-999.0,-999,-999,-999,None,None,15,15,15.0,15,LOS ANGELES,False
30,,Feature,Venice Beach,Los Angeles,California,-118.474393128,33.9871308654,5,http://mw2.google.com/mw-panoramio/photos/small/7711289.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
31,15 min to 1.5 hr,Feature,Santa Monica Pier,Los Angeles,California,-118.498735682,34.008184359,6,http://mw2.google.com/mw-panoramio/photos/small/49133338.jpg,,,,None,None,None,90.0,30,None,None,90.0,30,LOS ANGELES,False
32,,Feature,Getty Museum,Los Angeles,California,-118.474364807,34.0771626952,7,http://mw2.google.com/mw-panoramio/photos/small/66017231.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
33,,Feature,Grauman's Chinese Theatre,Los Angeles,California,-118.340956931,34.1017094383,8,http://mw2.google.com/mw-panoramio/photos/small/99532938.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
34,3 hours,Feature,Getty Center,Los Angeles,California,-118.47456332,34.0770966421,9,http://mw2.google.com/mw-panoramio/photos/small/46953231.jpg,5.0,10328.0,1.0,Yes,2-3 hours,Specialty Museums,180.0,90.0,120.0,180.0,180.0,90.0,LOS ANGELES,False
35,,Feature,Beverly Hills,Los Angeles,California,-118.402202774,34.0703171459,10,http://mw2.google.com/mw-panoramio/photos/small/64036445.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
36,,Feature,Union Station,Los Angeles,California,-118.236406898,34.0560576663,11,http://mw2.google.com/mw-panoramio/photos/small/34589759.jpg,4.5,1128.0,26.0,No,15 min,Mass Transportation Systems,None,None,15,15,15.0,15,LOS ANGELES,False
37,,Feature,Los Angeles City Hall,Los Angeles,California,-118.242996695,34.0536782167,12,http://mw2.google.com/mw-panoramio/photos/small/79860501.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
38,,Feature,Rodeo Drive,Los Angeles,California,-118.401526534,34.0678186728,13,http://mw2.google.com/mw-panoramio/photos/small/33038461.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
39,,Feature,Universal Studios,Los Angeles,California,-118.355816901,34.1366207415,14,http://mw2.google.com/mw-panoramio/photos/small/36650938.jpg,4.5,24681.0,2.0,No,15 min,Theme Parks,None,None,15,15,15.0,15,LOS ANGELES,False
40,,Feature,Manhattan Beach,Los Angeles,California,-118.412789813,33.8840441621,15,http://mw2.google.com/mw-panoramio/photos/small/52890106.jpg,,,,None,None,None,None,None,None,None,15.0,15,LOS ANGELES,False
41,25 min to 1 hr,Feature,Under the Pier,Los Angeles,California,-118.498006003,34.0086362927,16,http://mw2.google.com/mw-panoramio/photos/small/11410472.jpg,,,,None,None,None,60.0,30,None,None,60.0,30,LOS ANGELES,False
42,3 hours,Feature,LACMA,Los Angeles,California,-118.359395153,34.0632105172,17,http://mw2.google.com/mw-panoramio/photos/small/47586841.jpg,,,,None,None,None,180.0,90.0,None,None,180.0,90.0,LOS ANGELES,False
43,45 min to 2 hr,Feature,Queen Mary,Los Angeles,California,-118.190307407,33.7529921186,18,http://mw2.google.com/mw-panoramio/photos/small/18998758.jpg,,,,None,None,None,120.0,45.0,None,None,120.0,45.0,LOS ANGELES,False
44,,Feature,Hollywood Bowl,Los Angeles,California,-118.339094893,34.1121532406,19,http://mw2.google.com/mw-panoramio/photos/small/24108333.jpg,4.5,1149.0,22.0,No,2-3 hours,Specialty Museums,None,None,120.0,180.0,180.0,120.0,LOS ANGELES,False
45,,Feature,Hollywood Sign,Los Angeles,California,-118.300562258,34.1189954535,20,http://mw2.google.com/mw-panoramio/photos/small/65480723.jpg,4.0,4898.0,30.0,No,15 min,Points of Interest & Landmarks,None,None,15,15,15.0,15,LOS ANGELES,False
46,2 hours,Feature,Bradbury Building,Los Angeles,California,-118.247975178,34.0506782595,21,http://mw2.google.com/mw-panoramio/photos/small/13190170.jpg,4.5,384.0,27.0,No,15 min,Architectural Buildings,120.0,60.0,15,15,120.0,60.0,LOS ANGELES,False
47,30 min,Feature,The Bean,Chicago,Illinois,-87.6233008207,41.8827218323,1,http://mw2.google.com/mw-panoramio/photos/small/38487679.jpg,,,,None,None,None,30,30,None,None,30.0,30,COOK,False
48,,Feature,Navy Pier,Chicago,Illinois,-87.6078915068,41.8914766468,2,http://mw2.google.com/mw-panoramio/photos/small/13520455.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
49,,Feature,Sears Tower,Chicago,Illinois,-87.6360413208,41.8788817675,3,http://mw2.google.com/mw-panoramio/photos/small/21827913.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
50,,Feature,John Hancock Center,Chicago,Illinois,-87.6233876252,41.8987857332,4,http://mw2.google.com/mw-panoramio/photos/small/755445.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
51,,Feature,Chicago River,Chicago,Illinois,-87.6258126706,41.8882907241,5,http://mw2.google.com/mw-panoramio/photos/small/92931645.jpg,4.5,777.0,21.0,No,1-2 hours,Bodies of Water,None,None,60.0,120.0,120.0,60.0,COOK,False
52,,Feature,Chicago,Chicago,Illinois,-87.6236431662,41.8980859159,6,http://mw2.google.com/mw-panoramio/photos/small/15065325.jpg,-999.0,-999.0,-999.0,-999,-999,-999,None,None,15,15,15.0,15,COOK,False
53,,Feature,Wrigley Field,Chicago,Illinois,-87.6560719557,41.9477401113,7,http://mw2.google.com/mw-panoramio/photos/small/37890723.jpg,4.5,7064.0,4.0,No,More than 3 hours,Arenas & Stadiums,None,None,180,300,300.0,180,COOK,False
54,45 min,Feature,Millennium Park,Chicago,Illinois,-87.6233407515,41.8827206615,8,http://mw2.google.com/mw-panoramio/photos/small/21738142.jpg,4.5,16614.0,2.0,No,<1 hour,Historic Walking Areas,45,30,30,60,45.0,30,COOK,False
55,15 min,Feature,Crown Fountain,Chicago,Illinois,-87.6237431285,41.8814937409,9,http://mw2.google.com/mw-panoramio/photos/small/77799921.jpg,4.5,1432.0,26.0,No,15 min,Fountains,30,15,15,15,30.0,15,COOK,False
56,2.5 hours,Feature,Art Institute of Chicago,Chicago,Illinois,-87.6239077083,41.8795776443,10,http://mw2.google.com/mw-panoramio/photos/small/19997255.jpg,5.0,16965.0,1.0,Yes,2-3 hours,Art Museums,150.0,75.0,120.0,180.0,150.0,75.0,COOK,False
57,,Feature,Chicago Theatre,Chicago,Illinois,-87.6278443802,41.885278766,11,http://mw2.google.com/mw-panoramio/photos/small/72032092.jpg,4.5,605.0,23.0,Yes,2-3 hours,Theaters,None,None,120.0,180.0,180.0,120.0,COOK,False
58,,Feature,Trump Tower,Chicago,Illinois,-87.62644952,41.8888651054,12,http://mw2.google.com/mw-panoramio/photos/small/5558960.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
59,,Feature,Marina City,Chicago,Illinois,-87.6285657894,41.8879048662,13,http://mw2.google.com/mw-panoramio/photos/small/82246925.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
60,,Feature,Jay Pritzker Pavilion,Chicago,Illinois,-87.6218873858,41.8831254435,14,http://mw2.google.com/mw-panoramio/photos/small/52543579.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
61,,Feature,Buckingham Fountain,Chicago,Illinois,-87.6184990103,41.8754968871,15,http://mw2.google.com/mw-panoramio/photos/small/97958549.jpg,4.5,2266.0,22.0,No,15 min,Fountains,None,None,15,15,15.0,15,COOK,False
62,,Feature,Union Station,Chicago,Illinois,-87.6398578311,41.8786688732,16,http://mw2.google.com/mw-panoramio/photos/small/42149675.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
63,45 min to 2 hr,Feature,Water Tower,Chicago,Illinois,-87.6244461733,41.8971642509,17,http://mw2.google.com/mw-panoramio/photos/small/42974482.jpg,,,,None,None,None,120.0,45.0,None,None,120.0,45.0,COOK,False
64,,Feature,Michigan Avenue Bridge,Chicago,Illinois,-87.6242917076,41.8889241289,18,http://mw2.google.com/mw-panoramio/photos/small/28217032.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
65,,Feature,Wrigley Building,Chicago,Illinois,-87.6244612567,41.8896181829,19,http://mw2.google.com/mw-panoramio/photos/small/57705738.jpg,,,,None,None,None,None,None,None,None,15.0,15,COOK,False
66,3 hours,Feature,Field Museum,Chicago,Illinois,-87.6170278938,41.8662916445,20,http://mw2.google.com/mw-panoramio/photos/small/53542084.jpg,4.5,6107.0,9.0,Yes,More than 3 hours,Specialty Museums,180.0,90.0,180,300,180.0,90.0,COOK,False
67,1.5 hours,Feature,Adler Planetarium,Chicago,Illinois,-87.6071671121,41.8666158694,21,http://mw2.google.com/mw-panoramio/photos/small/43238331.jpg,,,,None,None,None,90.0,45.0,None,None,90.0,45.0,COOK,False
68,,Feature,Minute Maid Park,Houston,Texas,-95.3554304147,29.7568884463,1,http://mw2.google.com/mw-panoramio/photos/small/29517702.jpg,4.5,2003.0,6.0,No,15 min,Arenas & Stadiums,None,None,30,60,60.0,30,HARRIS,False
69,2.5 hours,Feature,Houston Zoo,Houston,Texas,-95.3910608385,29.714666748,2,http://mw2.google.com/mw-panoramio/photos/small/68070141.jpg,4.5,2851.0,3.0,Yes,More than 3 hours,Nature & Parks,150.0,75.0,180,300,150.0,75.0,HARRIS,False
70,1.5 hours,Feature,San Jacinto Monument,Houston,Texas,-95.0807925918,29.7498555763,3,http://mw2.google.com/mw-panoramio/photos/small/101487299.jpg,,,,None,None,None,90.0,45.0,None,None,90.0,45.0,HARRIS,False
71,2.5 hours,Feature,Discovery Green,Houston,Texas,-95.3594825524,29.7532954763,4,http://mw2.google.com/mw-panoramio/photos/small/57812628.jpg,4.5,574.0,18.0,No,2-3 hours,Playgrounds,150.0,75.0,120.0,180.0,150.0,75.0,HARRIS,False
72,2 hours,Feature,Hermann Park,Houston,Texas,-95.3909810243,29.7211919171,5,http://mw2.google.com/mw-panoramio/photos/small/65461276.jpg,,,,None,None,None,120.0,60.0,None,None,120.0,60.0,HARRIS,False
73,2.5 hours,Feature,Kemah Boardwalk,Houston,Texas,-95.0180128847,29.5477205049,6,http://mw2.google.com/mw-panoramio/photos/small/539528.jpg,,,,None,None,None,150.0,75.0,None,None,150.0,75.0,HARRIS,True
74,,Feature,Kemah,Houston,Texas,-95.0183002636,29.5475798391,7,http://mw2.google.com/mw-panoramio/photos/small/22969286.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
75,,Feature,Saturn V,Houston,Texas,-95.0943771822,29.5539950492,8,http://mw2.google.com/mw-panoramio/photos/small/66505213.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
76,,Feature,Rice University,Houston,Texas,-95.3986294871,29.7190719621,9,http://mw2.google.com/mw-panoramio/photos/small/11522285.jpg,4.5,368.0,11.0,No,15 min,Educational sites,None,None,15,15,15.0,15,HARRIS,False
77,2.5 hours,Feature,Downtown Aquarium,Houston,Texas,-95.3674009086,29.764131676,10,http://mw2.google.com/mw-panoramio/photos/small/10435022.jpg,3.5,1672.0,26.0,Yes,More than 3 hours,Nature & Parks,150.0,75.0,180,300,150.0,75.0,HARRIS,False
78,1 hour,Feature,Rothko Chapel,Houston,Texas,-95.3961768307,29.7373981301,11,http://mw2.google.com/mw-panoramio/photos/small/55997008.jpg,,,,None,None,None,60.0,30.0,None,None,60.0,30.0,HARRIS,False
79,1 hour,Feature,Battleship Texas,Houston,Texas,-95.0892655653,29.7556887986,12,http://mw2.google.com/mw-panoramio/photos/small/18410612.jpg,,,,None,None,None,60.0,30.0,None,None,60.0,30.0,HARRIS,False
80,,Feature,Williams Tower,Houston,Texas,-95.4612611111,29.7371131878,13,http://mw2.google.com/mw-panoramio/photos/small/7249172.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
81,,Feature,Main Street,Houston,Texas,-95.3634556667,29.7589822278,14,http://mw2.google.com/mw-panoramio/photos/small/7956449.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
82,,Feature,Sam Houston,Houston,Texas,-95.3909818958,29.72162725,15,http://mw2.google.com/mw-panoramio/photos/small/29403153.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
83,,Feature,Reliant Stadium,Houston,Texas,-95.4110825507,29.6848605817,16,http://mw2.google.com/mw-panoramio/photos/small/33917891.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
84,,Feature,Toyota Center,Houston,Texas,-95.3623602427,29.7513126703,17,http://mw2.google.com/mw-panoramio/photos/small/3214261.jpg,4.5,580.0,20.0,No,15 min,Arenas & Stadiums,None,None,15,15,15.0,15,HARRIS,False
85,,Feature,Johnson Space Center,Houston,Texas,-95.0951903283,29.5529270634,18,http://mw2.google.com/mw-panoramio/photos/small/91824300.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
86,,Feature,George R. Brown Convention Center,Houston,Texas,-95.3582536754,29.7529667164,19,http://mw2.google.com/mw-panoramio/photos/small/6894500.jpg,,,,None,None,None,None,None,None,None,15.0,15,HARRIS,False
87,45 min,Feature,The Galleria,Houston,Texas,-95.4627437836,29.7390868099,20,http://mw2.google.com/mw-panoramio/photos/small/99092858.jpg,4.5,3542.0,10.0,No,2-3 hours,Ballets,45,30,120.0,180.0,45.0,30,HARRIS,False
88,45 min,Feature,Waterwall,Houston,Texas,-95.4612988148,29.7358417037,21,http://mw2.google.com/mw-panoramio/photos/small/1197339.jpg,,,,None,None,None,45,30,None,None,45.0,30,HARRIS,False
89,,Feature,City Hall,Philadelphia,Pennsylvania,-75.1638787943,39.9529928756,1,http://mw2.google.com/mw-panoramio/photos/small/15446665.jpg,4.5,864.0,20.0,No,15 min,Architectural Buildings,None,None,15,15,15.0,15,PHILADELPHIA,False
90,,Feature,Independence Hall,Philadelphia,Pennsylvania,-75.1500717085,39.948857784,2,http://mw2.google.com/mw-panoramio/photos/small/97376977.jpg,4.5,6249.0,4.0,No,<1 hour,Architectural Buildings,None,None,30,60,60.0,30,PHILADELPHIA,False
91,1 hour,Feature,Liberty Bell,Philadelphia,Pennsylvania,-75.1502921398,39.9495531531,3,http://mw2.google.com/mw-panoramio/photos/small/70358128.jpg,4.5,2995.0,17.0,No,<1 hour,Historic Sites,60.0,30.0,30,60,60.0,30.0,PHILADELPHIA,False
92,,Feature,Ben Franklin Bridge,Philadelphia,Pennsylvania,-75.139117885,39.9533388817,4,http://mw2.google.com/mw-panoramio/photos/small/5599702.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
93,,Feature,Philadelphia,Philadelphia,Pennsylvania,-75.1816809145,39.9556100549,5,http://mw2.google.com/mw-panoramio/photos/small/28592698.jpg,-999.0,-999.0,-999.0,-999,-999,-999,None,None,15,15,15.0,15,PHILADELPHIA,False
94,2 hours,Feature,Eastern State Penitentiary,Philadelphia,Pennsylvania,-75.1726446216,39.9683505829,6,http://mw2.google.com/mw-panoramio/photos/small/14988581.jpg,4.5,4209.0,3.0,Yes,1-2 hours,History Museums,120.0,60.0,60.0,120.0,120.0,60.0,PHILADELPHIA,False
95,,Feature,Penn's Landing,Philadelphia,Pennsylvania,-75.1404115734,39.9457931965,7,http://mw2.google.com/mw-panoramio/photos/small/7931920.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
96,,Feature,Love Park,Philadelphia,Pennsylvania,-75.1656122778,39.9542087435,8,http://mw2.google.com/mw-panoramio/photos/small/35749470.jpg,,,,None,None,None,None,None,None,None,45.0,30,PHILADELPHIA,False
97,,Feature,30th Street Station,Philadelphia,Pennsylvania,-75.1819880474,39.955728975,9,http://mw2.google.com/mw-panoramio/photos/small/63035052.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
98,,Feature,Boathouse Row,Philadelphia,Pennsylvania,-75.1851141757,39.967788111,10,http://mw2.google.com/mw-panoramio/photos/small/61781587.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
99,15-45 min,Feature,Geno's Steaks,Philadelphia,Pennsylvania,-75.1589949687,39.9336610465,11,http://mw2.google.com/mw-panoramio/photos/small/88902096.jpg,,,,None,None,None,45.0,45.0,None,None,45.0,45.0,PHILADELPHIA,False
100,,Feature,Art Museum,Philadelphia,Pennsylvania,-75.1803872874,39.9651803686,12,http://mw2.google.com/mw-panoramio/photos/small/87824868.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
101,,Feature,LOVE,Philadelphia,Pennsylvania,-75.1655435444,39.9541648735,13,http://mw2.google.com/mw-panoramio/photos/small/60247026.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
102,2.5 hours,Feature,Philadelphia Museum of Art,Philadelphia,Pennsylvania,-75.1806062527,39.965352741,14,http://mw2.google.com/mw-panoramio/photos/small/58914644.jpg,4.5,5087.0,1.0,Yes,1-2 hours,Art Museums,150.0,75.0,60.0,120.0,150.0,75.0,PHILADELPHIA,False
103,3.5 hours,Feature,Franklin Institute,Philadelphia,Pennsylvania,-75.1727294681,39.9582290592,15,http://mw2.google.com/mw-panoramio/photos/small/67667301.jpg,4.5,2115.0,16.0,Yes,2-3 hours,Science Museums,210.0,105.0,120.0,180.0,210.0,105.0,PHILADELPHIA,False
104,,Feature,Citizens Bank Park,Philadelphia,Pennsylvania,-75.1672147978,39.9054143552,16,http://mw2.google.com/mw-panoramio/photos/small/37218214.jpg,4.5,1783.0,8.0,No,15 min,Arenas & Stadiums,None,None,30,60,60.0,30,PHILADELPHIA,False
105,20 min to 1 hr,Feature,Reading Terminal Market,Philadelphia,Pennsylvania,-75.159315297,39.9532906978,17,http://mw2.google.com/mw-panoramio/photos/small/22767583.jpg,4.5,2730.0,5.0,No,1-2 hours,Flea & Street Markets,60.0,30,60.0,120.0,60.0,30,PHILADELPHIA,False
106,1 hour,Feature,Rocky Statue,Philadelphia,Pennsylvania,-75.1793231031,39.9651740103,18,http://mw2.google.com/mw-panoramio/photos/small/82465722.jpg,4.0,1826.0,30.0,No,<1 hour,Monuments & Statues,60.0,30.0,30,60,60.0,30.0,PHILADELPHIA,False
107,,Feature,Elfreth's Alley,Philadelphia,Pennsylvania,-75.1424777522,39.9527829418,19,http://mw2.google.com/mw-panoramio/photos/small/83210889.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
108,,Feature,Chinatown,Philadelphia,Pennsylvania,-75.1562971606,39.9535958282,20,http://mw2.google.com/mw-panoramio/photos/small/2173227.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
109,,Feature,Comcast Center,Philadelphia,Pennsylvania,-75.1685069583,39.9544178259,21,http://mw2.google.com/mw-panoramio/photos/small/33289994.jpg,,,,None,None,None,None,None,None,None,15.0,15,PHILADELPHIA,False
110,3 hours,Feature,Desert Botanical Garden,Phoenix,Arizona,-111.944728653,33.4608132274,1,http://mw2.google.com/mw-panoramio/photos/small/102505727.jpg,4.5,5831.0,2.0,No,2-3 hours,Gardens,180.0,90.0,120.0,180.0,180.0,90.0,MARICOPA,False
111,,Feature,Chase Field,Phoenix,Arizona,-112.066717968,33.4453030757,2,http://mw2.google.com/mw-panoramio/photos/small/14771624.jpg,4.5,1594.0,8.0,No,15 min,Arenas & Stadiums,None,None,15,15,15.0,15,MARICOPA,False
112,,Feature,Tempe Town Lake,Phoenix,Arizona,-111.942255243,33.4322219341,3,http://mw2.google.com/mw-panoramio/photos/small/72244908.jpg,,,,None,None,None,None,None,None,None,15.0,15,MARICOPA,False
113,1.5 hours,Feature,Papago Park,Phoenix,Arizona,-111.945928934,33.455235766,4,http://mw2.google.com/mw-panoramio/photos/small/5845761.jpg,4.5,541.0,12.0,No,15 min,Nature & Parks,90.0,45.0,30,60,90.0,45.0,MARICOPA,False
114,,Feature,Hotel San Carlos,Phoenix,Arizona,-112.073909542,33.4504725418,5,http://mw2.google.com/mw-panoramio/photos/small/17053092.jpg,,,,None,None,None,None,None,None,None,15.0,15,MARICOPA,False
115,,Feature,ASU,Phoenix,Arizona,-111.935681953,33.4214372498,6,http://mw2.google.com/mw-panoramio/photos/small/20001208.jpg,,,,None,None,None,None,None,None,None,15.0,15,MARICOPA,False
116,,Feature,Giraffe,Phoenix,Arizona,-111.947411524,33.4510943065,7,https://farm4.staticflickr.com/3527/3226931500_de76ba2673_q.jpg,,,,None,None,None,None,None,None,None,15.0,15,MARICOPA,False
117,,Feature,Hole in the Rock,Phoenix,Arizona,-111.945362548,33.4563991074,8,http://mw2.google.com/mw-panoramio/photos/small/17407521.jpg,4.5,552.0,14.0,No,15 min,Geologic Formations,None,None,15,15,15.0,15,MARICOPA,False
118,2.5 hours,Feature,Phoenix Zoo,Phoenix,Arizona,-111.946680068,33.4501735559,9,http://mw2.google.com/mw-panoramio/photos/small/68049526.jpg,4.5,2105.0,11.0,No,15 min,Zoos & Aquariums,150.0,75.0,90,120,150.0,75.0,MARICOPA,False
119,,Feature,Sky Harbor,Phoenix,Arizona,-111.997485611,33.4349694222,10,http://mw2.google.com/mw-panoramio/photos/small/52586585.jpg,,,,None,None,None,None,None,None,None,15.0,15,MARICOPA,False
120,,Feature,St. Mary's Basilica,Phoenix,Arizona,-112.069411334,33.450451763,11,http://mw2.google.com/mw-panoramio/photos/small/52740412.jpg,4.5,192.0,25.0,No,15 min,Sacred & Religious Sites,None,None,15,15,15.0,15,MARICOPA,False
121,2 hours,Feature,Rosson House,Phoenix,Arizona,-112.06606574,33.4502324271,12,http://mw2.google.com/mw-panoramio/photos/small/54160161.jpg,4.5,122.0,26.0,No,1-2 hours,Historic Sites,120.0,60.0,60.0,120.0,120.0,60.0,MARICOPA,False
