,city,state,nation,coord0,coord1
136,Munster,Indiana,US,41.56448,-87.51254
137,Portage,Indiana,US,41.57587,-87.17615
138,Schererville,Indiana,US,41.47892,-87.45476
139,Valparaiso,Indiana,US,41.47309,-87.06114
140,Athens,Ohio,US,39.32924,-82.10126
141,Chillicothe,Ohio,US,39.33312,-82.9824
142,Delaware,Ohio,US,40.29867,-83.06797
143,Lancaster,Ohio,US,39.71368,-82.59933
144,Marion,Ohio,US,40.58867,-83.12852
145,Newark,Ohio,US,40.05812,-82.40126
146,Portsmouth,Ohio,US,38.73174,-82.99767
147,Zanesville,Ohio,US,39.94035,-82.01319
148,Algonquin,Illinois,US,42.16558,-88.29425
149,Arlington Heights,Illinois,US,42.08836,-87.98063
150,Buffalo Grove,Illinois,US,42.15141,-87.95979
151,Carpentersville,Illinois,US,42.12114,-88.25786
152,Des Plaines,Illinois,US,42.03336,-87.8834
153,South Elgin,Illinois,US,41.99419,-88.2923
154,Elk Grove Village,Illinois,US,42.00392,-87.97035
155,Evanston,Illinois,US,42.04114,-87.69006
156,Glenview,Illinois,US,42.06975,-87.78784
157,Gurnee,Illinois,US,42.3703,-87.90202
158,Highland Park,Illinois,US,42.18169,-87.80034
159,Hoffman Estates,Illinois,US,42.04281,-88.0798
160,Lake Forest,Illinois,US,42.25863,-87.84063
161,Lake in the Hills,Illinois,US,42.18169,-88.33036
162,Libertyville,Illinois,US,42.28308,-87.95313
163,Morton Grove,Illinois,US,42.04059,-87.78256
164,Mount Prospect,Illinois,US,42.06642,-87.93729
165,Mundelein,Illinois,US,42.26308,-88.00397
166,Niles,Illinois,US,42.01892,-87.80284
167,North Chicago,Illinois,US,42.32558,-87.84118
168,Northbrook,Illinois,US,42.12753,-87.82895
169,Palatine,Illinois,US,42.1103,-88.03424
170,Park Ridge,Illinois,US,42.01114,-87.84062
171,Rolling Meadows,Illinois,US,42.08419,-88.01313
172,Round Lake Beach,Illinois,US,42.37169,-88.09008
173,Schaumburg,Illinois,US,42.03336,-88.08341
174,Skokie,Illinois,US,42.03336,-87.73339
175,Vernon Hills,Illinois,US,42.21947,-87.97952
176,Waukegan,Illinois,US,42.36363,-87.84479
177,Wheeling,Illinois,US,42.13919,-87.92896
178,Wilmette,Illinois,US,42.07225,-87.72284
179,Zion,Illinois,US,42.44613,-87.83285
180,Baton Rouge,Louisiana,US,30.45075,-91.15455
181,Biloxi,Mississippi,US,30.39603,-88.88531
182,West Gulfport,Mississippi,US,30.40409,-89.0942
183,Pascagoula,Mississippi,US,30.36576,-88.55613
184,Albany,Georgia,US,31.57851,-84.15574
185,Valdosta,Georgia,US,30.83334,-83.28032
186,Muskegon,Michigan,US,43.23418,-86.24839
187,Norton Shores,Michigan,US,43.1689,-86.26395
188,Shelby,Michigan,US,42.67087,-83.03298
189,Akron,Ohio,US,41.08144,-81.51901
190,Alliance,Ohio,US,40.91534,-81.10593
191,Austintown,Ohio,US,41.10172,-80.76452
192,Barberton,Ohio,US,41.01283,-81.60512
193,Boardman,Ohio,US,41.02423,-80.66285
194,Brunswick,Ohio,US,41.23811,-81.8418
195,North Canton,Ohio,US,40.87589,-81.40234
196,Cuyahoga Falls,Ohio,US,41.13394,-81.48456
197,Green,Ohio,US,40.94589,-81.48317
198,Hudson,Ohio,US,41.24006,-81.44067
199,Kent,Ohio,US,41.15367,-81.35789
200,Massillon,Ohio,US,40.79672,-81.52151
201,Medina,Ohio,US,41.13839,-81.86375
202,Niles,Ohio,US,41.18284,-80.76536
203,Stow,Ohio,US,41.1595,-81.44039
204,Warren,Ohio,US,41.23756,-80.81842
205,Wooster,Ohio,US,40.80517,-81.93646
206,Youngstown,Ohio,US,41.09978,-80.64952
207,Bonita Springs,Florida,US,26.33981,-81.7787
208,Cape Coral,Florida,US,26.56285,-81.94953
209,North Fort Myers,Florida,US,26.66729,-81.88009
210,Golden Gate,Florida,US,26.18787,-81.69509
211,Lehigh Acres,Florida,US,26.62535,-81.6248
212,Naples,Florida,US,26.14234,-81.79596
214,Aspen Hill,Maryland,US,39.07955,-77.07303
215,North Bethesda,Maryland,US,39.04455,-77.11887
216,Bowie,Maryland,US,38.94278,-76.73028
217,Chillum,Maryland,US,38.96372,-76.99081
218,Clinton,Maryland,US,38.76511,-76.89831
219,College Park,Maryland,US,38.98067,-76.93692
220,Cumberland,Maryland,US,39.65287,-78.76252
221,Fairland,Maryland,US,39.07622,-76.95775
222,Fort Washington,Maryland,US,38.70734,-77.02303
223,Frederick,Maryland,US,39.41427,-77.41054
224,Gaithersburg,Maryland,US,39.14344,-77.20137
225,Germantown,Maryland,US,39.17316,-77.27165
226,Greenbelt,Maryland,US,39.00455,-76.87553
227,Hagerstown,Maryland,US,39.64176,-77.71999
228,Landover,Maryland,US,38.934,-76.89664
229,Montgomery Village,Maryland,US,39.17677,-77.19526
231,South Laurel,Maryland,US,39.06983,-76.85025
232,North Potomac,Maryland,US,39.08289,-77.26498
233,Olney,Maryland,US,39.15316,-77.06692
234,Potomac,Maryland,US,39.01817,-77.20859
235,Rockville,Maryland,US,39.084,-77.15276
236,Silver Spring,Maryland,US,38.99067,-77.02609
238,Saint Charles,Maryland,US,38.60317,-76.93858
239,Suitland,Maryland,US,38.84872,-76.92386
240,Waldorf,Maryland,US,38.62456,-76.93914
241,White Oak,Maryland,US,39.03983,-76.99303
242,West Bloomfield Township,Michigan,US,42.56891,-83.38356
243,Farmington Hills,Michigan,US,42.48531,-83.37716
244,Ferndale,Michigan,US,42.46059,-83.13465
245,Madison Heights,Michigan,US,42.48587,-83.1052
246,Novi,Michigan,US,42.48059,-83.47549
247,Oak Park,Michigan,US,42.45948,-83.18271
248,Pontiac,Michigan,US,42.63892,-83.29105
249,Rochester Hills,Michigan,US,42.65837,-83.14993
250,Royal Oak,Michigan,US,42.48948,-83.14465
251,Southfield,Michigan,US,42.47337,-83.22187
252,Troy,Michigan,US,42.60559,-83.14993
253,Waterford,Michigan,US,42.69303,-83.41181
255,Mobile,Alabama,US,30.69436,-88.04305
256,Prichard,Alabama,US,30.7388,-88.07889
257,Greenville,North Carolina,US,35.61266,-77.36635
258,Havelock,North Carolina,US,34.87905,-76.90133
259,Kinston,North Carolina,US,35.26266,-77.58164
260,New Bern,North Carolina,US,35.10849,-77.04411
261,Rocky Mount,North Carolina,US,35.93821,-77.79053
262,Wilson,North Carolina,US,35.72127,-77.91554
263,Auburn,Washington,US,47.30732,-122.22845
264,East Hill-Meridian,Washington,US,47.41052,-122.17369
265,Federal Way,Washington,US,47.32232,-122.31262
266,Lakewood,Washington,US,47.17176,-122.51846
267,Parkland,Washington,US,47.15538,-122.43401
268,Puyallup,Washington,US,47.18538,-122.2929
269,South Hill,Washington,US,47.14121,-122.27012
270,Spanaway,Washington,US,47.10399,-122.43457
271,Tacoma,Washington,US,47.25288,-122.44429
272,University Place,Washington,US,47.23565,-122.5504
273,Copperas Cove,Texas,US,31.12406,-97.90308
274,Fort Hood,Texas,US,31.13489,-97.77561
275,Killeen,Texas,US,31.11712,-97.7278
276,Temple,Texas,US,31.09823,-97.34278
277,Waco,Texas,US,31.54933,-97.14667
278,Anniston,Alabama,US,33.65983,-85.83163
279,Decatur,Alabama,US,34.60593,-86.98334
280,Florence,Alabama,US,34.79981,-87.67725
281,Gadsden,Alabama,US,34.01426,-86.00664
282,Huntsville,Alabama,US,34.73037,-86.5861
283,Madison,Alabama,US,34.69926,-86.74833
284,Fort Wayne,Indiana,US,41.1306,-85.12886
285,Brookfield,Wisconsin,US,43.06057,-88.10648
286,Caledonia,Wisconsin,US,42.8078,-87.92425
287,Kenosha,Wisconsin,US,42.58474,-87.82119
288,Menomonee Falls,Wisconsin,US,43.1789,-88.11731
289,Mequon,Wisconsin,US,43.2364,-87.98453
290,Muskego,Wisconsin,US,42.90585,-88.13898
291,New Berlin,Wisconsin,US,42.9764,-88.10842
292,Racine,Wisconsin,US,42.72613,-87.78285
293,Waukesha,Wisconsin,US,43.01168,-88.23148
294,West Bend,Wisconsin,US,43.42528,-88.18343
297,Battle Creek,Michigan,US,42.3173,-85.17816
298,Kalamazoo,Michigan,US,42.29171,-85.58723
299,Portage,Michigan,US,42.20115,-85.58
300,Bowling Green,Kentucky,US,36.99032,-86.4436
301,Elizabethtown,Kentucky,US,37.69395,-85.85913
302,Henderson,Kentucky,US,37.83615,-87.59001
303,Hopkinsville,Kentucky,US,36.86561,-87.49117
304,Owensboro,Kentucky,US,37.77422,-87.11333
305,Paducah,Kentucky,US,37.08339,-88.60005
306,Radcliff,Kentucky,US,37.84035,-85.94913
307,Back Mountain,Pennsylvania,US,41.33591,-75.99631
308,Hazleton,Pennsylvania,US,40.95842,-75.97465
309,Scranton,Pennsylvania,US,41.40916,-75.6649
310,Wilkes-Barre,Pennsylvania,US,41.24591,-75.88131
311,Williamsport,Pennsylvania,US,41.24119,-77.00108
312,Richmond,Virginia,US,37.55376,-77.46026
313,Alvin,Texas,US,29.42385,-95.2441
314,Atascocita,Texas,US,29.99883,-95.1766
315,Baytown,Texas,US,29.7355,-94.97743
316,Channelview,Texas,US,29.77606,-95.11465
317,Cloverleaf,Texas,US,29.77828,-95.17188
318,Deer Park,Texas,US,29.70523,-95.12382
319,Friendswood,Texas,US,29.5294,-95.20104
320,South Houston,Texas,US,29.66301,-95.23549
321,La Porte,Texas,US,29.66578,-95.01937
322,League City,Texas,US,29.50745,-95.09493
323,Mission Bend,Texas,US,29.69384,-95.66495
324,Missouri City,Texas,US,29.61857,-95.53772
325,Pasadena,Texas,US,29.69106,-95.2091
326,Pearland,Texas,US,29.56357,-95.28605
327,Rosenberg,Texas,US,29.55718,-95.80856
328,Spring,Texas,US,30.07994,-95.41716
329,Sugar Land,Texas,US,29.61968,-95.63495
330,The Woodlands,Texas,US,30.15799,-95.48938
359,Dover,Delaware,US,39.15817,-75.52437
360,Newark,Delaware,US,39.68372,-75.74966
361,Wilmington,Delaware,US,39.74595,-75.54659
362,Arvada,Colorado,US,39.80276,-105.08748
363,Aurora,Colorado,US,39.72943,-104.83192
364,Boulder,Colorado,US,40.01499,-105.27055
365,Brighton,Colorado,US,39.98526,-104.82053
366,Broomfield,Colorado,US,39.92054,-105.08665
367,Castle Rock,Colorado,US,39.37221,-104.85609
368,Castlewood,Colorado,US,39.58471,-104.90109
369,Columbine,Colorado,US,39.58777,-105.06943
370,Commerce City,Colorado,US,39.80832,-104.93387
371,Denver,Colorado,US,39.73915,-104.9847
372,Englewood,Colorado,US,39.64777,-104.98776
373,Highlands Ranch,Colorado,US,39.55388,-104.96943
374,Ken Caryl,Colorado,US,39.57582,-105.11221
375,Lafayette,Colorado,US,39.9936,-105.08971
376,Lakewood,Colorado,US,39.70471,-105.08137
377,Littleton,Colorado,US,39.61332,-105.01665
378,Longmont,Colorado,US,40.16721,-105.10193
379,Loveland,Colorado,US,40.39776,-105.07498
380,Northglenn,Colorado,US,39.88554,-104.9872
381,Parker,Colorado,US,39.5186,-104.76136
382,Southglenn,Colorado,US,39.58721,-104.95276
383,Thornton,Colorado,US,39.86804,-104.97192
384,Westminster,Colorado,US,39.83665,-105.0372
385,Wheat Ridge,Colorado,US,39.7661,-105.07721
386,South Charleston,West Virginia,US,38.36843,-81.69957
387,Huntington,West Virginia,US,38.41925,-82.44515
388,Morgantown,West Virginia,US,39.62953,-79.9559
389,Parkersburg,West Virginia,US,39.26674,-81.56151
390,Weirton,West Virginia,US,40.41896,-80.58952
391,Wheeling,West Virginia,US,40.06396,-80.72091
392,Aventura,Florida,US,25.95648,-80.13921
393,Carol City,Florida,US,25.94065,-80.2456
394,Coral Gables,Florida,US,25.72149,-80.26838
395,Coral Terrace,Florida,US,25.74593,-80.3045
396,Country Club,Florida,US,25.94815,-80.317
397,Cutler Ridge,Florida,US,25.58066,-80.34672
398,Doral,Florida,US,25.81954,-80.35533
399,Golden Glades,Florida,US,25.91176,-80.20033
400,Hialeah,Florida,US,25.8576,-80.27811
401,Homestead,Florida,US,25.46872,-80.47756
402,Kendale Lakes,Florida,US,25.70816,-80.407
403,Kendall West,Florida,US,25.7065,-80.4388
404,Key West,Florida,US,24.55524,-81.78163
405,Leisure City,Florida,US,25.49539,-80.42922
406,West Miami,Florida,US,25.76343,-80.29616
407,North Miami Beach,Florida,US,25.93315,-80.16255
408,Miami Lakes,Florida,US,25.90871,-80.30866
409,Miramar,Florida,US,25.98731,-80.23227
410,Norland,Florida,US,25.94898,-80.21227
411,North Miami,Florida,US,25.89009,-80.18671
413,Richmond West,Florida,US,25.6105,-80.42971
414,Richmond Heights,Florida,US,25.63149,-80.36894
415,South Miami Heights,Florida,US,25.59761,-80.38061
416,Tamiami,Florida,US,25.75871,-80.39839
417,West Little River,Florida,US,25.85704,-80.23699
418,Westchester,Florida,US,25.75482,-80.32727
419,Casper,Wyoming,US,42.86663,-106.31308
420,Cheyenne,Wyoming,US,41.13998,-104.82025
421,Gillette,Wyoming,US,44.29109,-105.50222
422,Laramie,Wyoming,US,41.31137,-105.5911
423,Grand Island,Nebraska,US,40.92501,-98.34201
424,Kearney,Nebraska,US,40.69946,-99.08148
425,North Platte,Nebraska,US,41.12389,-100.76542
426,Bloomington,Illinois,US,40.4842,-88.99369
427,East Moline,Illinois,US,41.50087,-90.4443
428,East Peoria,Illinois,US,40.66615,-89.5801
429,Galesburg,Illinois,US,40.94782,-90.37124
430,Moline,Illinois,US,41.5067,-90.51513
431,Normal,Illinois,US,40.5142,-88.99063
432,Pekin,Illinois,US,40.56754,-89.64066
433,Peoria,Illinois,US,40.69365,-89.58899
434,Rock Island,Illinois,US,41.50948,-90.57875
435,Beverly Hills,California,US,34.07362,-118.40036
436,West Carson,California,US,33.82168,-118.29257
437,Culver City,California,US,34.02112,-118.39647
438,Gardena,California,US,33.88835,-118.30896
439,Hawthorne,California,US,33.9164,-118.35257
440,Inglewood,California,US,33.96168,-118.35313
441,Lawndale,California,US,33.88724,-118.35257
442,Lennox,California,US,33.93807,-118.35258
443,Lomita,California,US,33.79224,-118.31507
444,Lynwood,California,US,33.93029,-118.21146
445,Manhattan Beach,California,US,33.88474,-118.41091
446,Rancho Palos Verdes,California,US,33.74446,-118.38702
447,Redondo Beach,California,US,33.84918,-118.38841
448,Santa Monica,California,US,34.01945,-118.49119
449,Torrance,California,US,33.83585,-118.34063
451,West Chicago,Illinois,US,41.88475,-88.20396
452,Allen Park,Michigan,US,42.25754,-83.21104
453,Dearborn,Michigan,US,42.32226,-83.17631
454,Dearborn Heights,Michigan,US,42.33698,-83.27326
455,Detroit,Michigan,US,42.33143,-83.04575
456,Hamtramck,Michigan,US,42.39282,-83.04964
457,Inkster,Michigan,US,42.2942,-83.30993
458,Lincoln Park,Michigan,US,42.25059,-83.17854
459,Redford,Michigan,US,42.38337,-83.2966
460,Taylor,Michigan,US,42.24087,-83.26965
461,Kirkwood,Missouri,US,38.58339,-90.40678
462,Maryland Heights,Missouri,US,38.71311,-90.42984
463,Mehlville,Missouri,US,38.50839,-90.32289
464,Oakville,Missouri,US,38.47005,-90.30456
465,Spanish Lake,Missouri,US,38.78783,-90.21594
466,St. Louis,Missouri,US,38.62727,-90.19789
467,University City,Missouri,US,38.65588,-90.30928
468,Webster Groves,Missouri,US,38.59255,-90.35734
469,Affton,Missouri,US,38.55061,-90.33317
470,Ferguson,Missouri,US,38.74422,-90.30539
471,Florissant,Missouri,US,38.78922,-90.32261
472,Hazelwood,Missouri,US,38.77144,-90.37095
473,Auburn,New York,US,42.93173,-76.56605
474,Rome,New York,US,43.21285,-75.45573
475,Syracuse,New York,US,43.04812,-76.14742
476,Utica,New York,US,43.1009,-75.23266
477,Watertown,New York,US,43.97478,-75.91076
478,Wichita,Kansas,US,37.69224,-97.33754
479,Carmel,Indiana,US,39.97837,-86.11804
480,Fishers,Indiana,US,39.95559,-86.01387
481,Greenwood,Indiana,US,39.61366,-86.10665
482,Indianapolis,Indiana,US,39.76838,-86.15804
483,Lawrence,Indiana,US,39.83865,-86.02526
484,Noblesville,Indiana,US,40.04559,-86.0086
485,Alexandria,Louisiana,US,31.31129,-92.44514
486,Bossier City,Louisiana,US,32.51599,-93.73212
487,West Monroe,Louisiana,US,32.51848,-92.14764
488,Ruston,Louisiana,US,32.52321,-92.63793
489,Shreveport,Louisiana,US,32.52515,-93.75018
490,Burlington,Iowa,US,40.80754,-91.11292
491,Cedar Falls,Iowa,US,42.52776,-92.44547
492,Cedar Rapids,Iowa,US,42.00833,-91.64407
493,Iowa City,Iowa,US,41.66113,-91.53017
494,Marion,Iowa,US,42.03417,-91.59768
495,Waterloo,Iowa,US,42.49276,-92.34296
496,Saint Cloud,Minnesota,US,45.5608,-94.16249
497,Altamonte Springs,Florida,US,28.66111,-81.36562
498,South Apopka,Florida,US,28.66194,-81.50952
499,Casselberry,Florida,US,28.67778,-81.32785
500,Kissimmee,Florida,US,28.30468,-81.41667
501,West Melbourne,Florida,US,28.07168,-80.65339
502,Merritt Island,Florida,US,28.53917,-80.672
503,Oak Ridge,Florida,US,28.47112,-81.42452
504,Ocoee,Florida,US,28.56917,-81.54396
505,Orlando,Florida,US,28.53834,-81.37924
506,Oviedo,Florida,US,28.67,-81.20812
507,Palm Bay,Florida,US,28.03446,-80.58866
508,Pine Hills,Florida,US,28.55778,-81.4534
509,Rockledge,Florida,US,28.35084,-80.72533
510,Sanford,Florida,US,28.80055,-81.27312
511,Saint Cloud,Florida,US,28.2489,-81.28118
512,Titusville,Florida,US,28.61222,-80.80755
513,University Park,Florida,US,25.74649,-80.36755
514,Wekiwa Springs,Florida,US,28.69861,-81.42563
515,Winter Park,Florida,US,28.6,-81.33924
516,Winter Springs,Florida,US,28.69889,-81.30812
517,Bell,California,US,33.97751,-118.18702
518,Bell Gardens,California,US,33.96529,-118.15146
519,Cudahy,California,US,33.96057,-118.18535
520,East Los Angeles,California,US,34.0239,-118.17202
521,Florence-Graham,California,US,33.96772,-118.24438
522,Huntington Park,California,US,33.98168,-118.22507
523,Maywood,California,US,33.98668,-118.18535
524,Montebello,California,US,34.00946,-118.10535
525,South Gate,California,US,33.95474,-118.21202
526,West Hollywood,California,US,34.09001,-118.36174
527,Westmont,California,US,33.9414,-118.3023
528,Abilene,Texas,US,32.44874,-99.73314
529,San Angelo,Texas,US,31.46377,-100.43704
548,Addison,Illinois,US,41.9317,-87.98896
549,North Aurora,Illinois,US,41.80614,-88.3273
550,Bartlett,Illinois,US,41.99503,-88.18563
551,Batavia,Illinois,US,41.85003,-88.31257
552,Bensenville,Illinois,US,41.95503,-87.94007
553,Bloomingdale,Illinois,US,41.95753,-88.0809
554,Bolingbrook,Illinois,US,41.69864,-88.0684
555,Carol Stream,Illinois,US,41.91253,-88.13479
556,Darien,Illinois,US,41.75198,-87.97395
557,Downers Grove,Illinois,US,41.80892,-88.01117
558,Elmhurst,Illinois,US,41.89947,-87.94034
559,Glen Ellyn,Illinois,US,41.87753,-88.06701
560,Glendale Heights,Illinois,US,41.91031,-88.07174
561,Hanover Park,Illinois,US,41.99947,-88.14507
562,Lisle,Illinois,US,41.80114,-88.07479
563,Lombard,Illinois,US,41.88003,-88.00784
564,Naperville,Illinois,US,41.78586,-88.14729
565,Roselle,Illinois,US,41.98475,-88.07979
566,Saint Charles,Illinois,US,41.91419,-88.30869
567,Streamwood,Illinois,US,42.02558,-88.17841
568,Villa Park,Illinois,US,41.88975,-87.98895
570,Westmont,Illinois,US,41.79586,-87.97562
571,Wheaton,Illinois,US,41.86614,-88.10701
572,Woodridge,Illinois,US,41.74697,-88.05034
573,Auburn,Alabama,US,32.60986,-85.48078
574,Dothan,Alabama,US,31.22323,-85.39049
575,Enterprise,Alabama,US,31.31517,-85.85522
576,Montgomery,Alabama,US,32.36681,-86.29997
577,Opelika,Alabama,US,32.64541,-85.37828
578,Phenix City,Alabama,US,32.47098,-85.00077
579,Prattville,Alabama,US,32.46402,-86.4597
580,Selma,Alabama,US,32.40736,-87.0211
581,Asheboro,North Carolina,US,35.70791,-79.81364
582,Burlington,North Carolina,US,36.09569,-79.4378
583,Greensboro,North Carolina,US,36.07264,-79.79198
584,High Point,North Carolina,US,35.95569,-80.00532
585,Winston-Salem,North Carolina,US,36.09986,-80.24422
586,Lafayette,Louisiana,US,30.22409,-92.01984
587,Lake Charles,Louisiana,US,30.21309,-93.2044
588,New Iberia,Louisiana,US,30.00354,-91.81873
589,Opelousas,Louisiana,US,30.53353,-92.08151
590,Sulphur,Louisiana,US,30.23659,-93.37738
591,Arlington,Massachusetts,US,42.41537,-71.15644
592,Braintree,Massachusetts,US,42.22232,-70.99949
593,Burlington,Massachusetts,US,42.50482,-71.19561
594,Dedham,Massachusetts,US,42.24177,-71.16616
595,Lexington,Massachusetts,US,42.44732,-71.2245
596,Lynn,Massachusetts,US,42.46676,-70.94949
597,Malden,Massachusetts,US,42.4251,-71.06616
598,Marblehead,Massachusetts,US,42.5001,-70.85783
599,Medford,Massachusetts,US,42.41843,-71.10616
600,Melrose,Massachusetts,US,42.45843,-71.06616
601,Needham,Massachusetts,US,42.28343,-71.23283
602,Norwood,Massachusetts,US,42.19454,-71.1995
